,link,tag,author,time,content,score
431257,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,libralibra  , 10/06 23:21,今天賣超第一在高雄耶，好巧,
431258,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,lj5831      , 10/06 22:41,前天被倒漲停，還好打開前出光，後面做空有賺回來,
431259,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,LOVEWS      , 10/13 14:02,還在飆,
431260,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,qw0102      , 11/10 20:52,太猛了,
431261,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,ramire      , 10/07 01:46,別買真心不騙,
431262,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,scuhans     , 10/15 01:41,警示一下可能就崩崩了沒基本面純炒作,
431263,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,siarim      , 10/07 07:07,我一開始也跟樓上一樣的想法，想說賣衛浴設備的有,
431264,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,snailz      , 10/18 11:30,有人褲子掉了,
431265,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,solonwu     , 10/06 23:04,我很佩服看到這種營收還買的下去的人,
431266,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,torrest     , 10/06 22:33,感謝你幫我吸單謝謝大大,
431267,https://www.ptt.cc/bbs/Stock/M.1475763033.A.832.html,推 ,torrest     , 10/06 23:32,月風不是幾乎都會收嗎,
454668,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,abyssa1     , 10/17 13:17,以為是凱撒衛浴+1,
454669,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,ada1207     , 10/17 11:13,51區還很推月風噗,
454670,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,anaydh      , 10/17 12:57,岳峰：一張不賣,
454671,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,b25329110   , 10/17 11:20,跟他單要很注意他核時喊賣不然那種小股本賣壓之大.,
454672,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,b85040312   , 10/17 11:56,我也覺得他發那篇明年四月的空單回補也未免太久了吧,
454673,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,cl3bp6      , 10/17 10:55,券被鎖碼不然就是搶光了,
454674,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:01,樓上是你發言不敬被秒鎖了喔那邊是一言堂,
454675,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:45,召開臨時股東會又怎樣?月風要率眾入主借殼?,
454676,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:48,沒有兩方都賺這種事只有買低或空高的會賺,
454677,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:53,原來月風有講召開臨時股東會強制空單回補,
454678,https://www.ptt.cc/bbs/Stock/M.1476672348.A.675.html,→ ,comemail    , 10/17 11:53,法規早就改了臨時股東會不用回補空單,
